@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
55,98,26,3,286,0.010381,0.790323,0.970297,0.790323,0.029703,0.871111,0.244552,3.231715,0.82
56,94,30,3,286,0.010381,0.758065,0.969072,0.758065,0.030928,0.850679,0.234867,3.227636,0.83
57,93,31,3,286,0.010381,0.75,0.96875,0.75,0.03125,0.845455,0.232446,3.226562,0.84
58,92,32,3,286,0.010381,0.741935,0.968421,0.741935,0.031579,0.840183,0.230024,3.225467,0.85
59,91,33,2,287,0.00692,0.733871,0.978495,0.733871,0.021505,0.83871,0.225182,3.259018,0.86
60,90,34,2,287,0.00692,0.725806,0.978261,0.725806,0.021739,0.833333,0.22276,3.25824,0.87
61,88,36,2,287,0.00692,0.709677,0.977778,0.709677,0.022222,0.82243,0.217918,3.256631,0.879048
62,87,37,2,287,0.00692,0.701613,0.977528,0.701613,0.022472,0.816901,0.215496,3.255799,0.88
63,85,39,2,287,0.00692,0.685484,0.977011,0.685484,0.022989,0.805687,0.210654,3.254079,0.89
64,83,41,2,287,0.00692,0.669355,0.976471,0.669355,0.023529,0.794258,0.205811,3.252277,0.9
65,82,42,2,287,0.00692,0.66129,0.97619,0.66129,0.02381,0.788462,0.20339,3.251344,0.91
66,79,45,1,288,0.00346,0.637097,0.9875,0.637097,0.0125,0.77451,0.193705,3.289012,0.92
67,75,49,0,289,0,0.604839,1,0.604839,0,0.753769,0.181598,3.330645,0.929565
68,74,50,0,289,0,0.596774,1,0.596774,0,0.747475,0.179177,3.330645,0.93
69,73,51,0,289,0,0.58871,1,0.58871,0,0.741117,0.176755,3.330645,0.94
70,65,59,0,289,0,0.524194,1,0.524194,0,0.687831,0.157385,3.330645,0.949565
71,64,60,0,289,0,0.516129,1,0.516129,0,0.680851,0.154964,3.330645,0.95
72,60,64,0,289,0,0.483871,1,0.483871,0,0.652174,0.145278,3.330645,0.96
73,56,68,0,289,0,0.451613,1,0.451613,0,0.622222,0.135593,3.330645,0.97
74,49,75,0,289,0,0.395161,1,0.395161,0,0.566474,0.118644,3.330645,0.979565
75,48,76,0,289,0,0.387097,1,0.387097,0,0.55814,0.116223,3.330645,0.98
76,37,87,0,289,0,0.298387,1,0.298387,0,0.459627,0.089588,3.330645,0.983333
77,36,88,0,289,0,0.290323,1,0.290323,0,0.45,0.087167,3.330645,0.99
78,20,104,0,289,0,0.16129,1,0.16129,0,0.277778,0.048426,3.330645,1
79,0,124,0,289,0,0,?,0,?,?,0,?,1.00001
