@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
57,60,4,68,281,0.194842,0.9375,0.46875,0.9375,0.53125,0.625,0.309927,3.024902,0.16
58,60,4,67,282,0.191977,0.9375,0.472441,0.9375,0.527559,0.628272,0.307506,3.04872,0.161176
59,60,4,66,283,0.189112,0.9375,0.47619,0.9375,0.52381,0.631579,0.305085,3.072917,0.165887
60,60,4,65,284,0.186246,0.9375,0.48,0.9375,0.52,0.634921,0.302663,3.0975,0.166667
61,60,4,64,285,0.183381,0.9375,0.483871,0.9375,0.516129,0.638298,0.300242,3.12248,0.17
62,58,6,61,288,0.174785,0.90625,0.487395,0.90625,0.512605,0.63388,0.288136,3.145221,0.171042
63,58,6,60,289,0.17192,0.90625,0.491525,0.90625,0.508475,0.637363,0.285714,3.171875,0.179856
64,58,6,59,290,0.169054,0.90625,0.495726,0.90625,0.504274,0.640884,0.283293,3.198985,0.18
65,58,6,58,291,0.166189,0.90625,0.5,0.90625,0.5,0.644444,0.280872,3.226563,0.18181
66,58,6,57,292,0.163324,0.90625,0.504348,0.90625,0.495652,0.648045,0.27845,3.25462,0.183546
67,58,6,56,293,0.160458,0.90625,0.508772,0.90625,0.491228,0.651685,0.276029,3.283169,0.186667
68,58,6,55,294,0.157593,0.90625,0.513274,0.90625,0.486726,0.655367,0.273608,3.312223,0.19
69,57,7,54,295,0.154728,0.890625,0.513514,0.890625,0.486486,0.651429,0.268765,3.313767,0.191154
70,56,8,54,295,0.154728,0.875,0.509091,0.875,0.490909,0.643678,0.266344,3.285227,0.191176
71,56,8,53,296,0.151862,0.875,0.513761,0.875,0.486239,0.647399,0.263923,3.315367,0.2
72,55,9,48,301,0.137536,0.859375,0.533981,0.859375,0.466019,0.658683,0.249395,3.445843,0.205517
73,55,9,47,302,0.13467,0.859375,0.539216,0.859375,0.460784,0.662651,0.246973,3.479626,0.21
74,54,10,46,303,0.131805,0.84375,0.54,0.84375,0.46,0.658537,0.242131,3.484688,0.21073
75,54,10,45,304,0.12894,0.84375,0.545455,0.84375,0.454545,0.662577,0.239709,3.519886,0.218982
76,54,10,44,305,0.126074,0.84375,0.55102,0.84375,0.44898,0.666667,0.237288,3.555804,0.22
77,53,11,41,308,0.117479,0.828125,0.56383,0.828125,0.43617,0.670886,0.227603,3.638464,0.222679
78,53,11,40,309,0.114613,0.828125,0.569892,0.828125,0.430108,0.675159,0.225182,3.677587,0.23
79,53,11,38,311,0.108883,0.828125,0.582418,0.828125,0.417582,0.683871,0.220339,3.758413,0.234005
80,53,11,37,312,0.106017,0.828125,0.588889,0.828125,0.411111,0.688312,0.217918,3.800174,0.239825
81,53,11,36,313,0.103152,0.828125,0.595506,0.828125,0.404494,0.69281,0.215496,3.842872,0.24
82,53,11,35,314,0.100287,0.828125,0.602273,0.828125,0.397727,0.697368,0.213075,3.886541,0.240455
83,53,11,34,315,0.097421,0.828125,0.609195,0.828125,0.390805,0.701987,0.210654,3.931214,0.243333
84,53,11,33,316,0.094556,0.828125,0.616279,0.828125,0.383721,0.706667,0.208232,3.976926,0.248333
85,53,11,32,317,0.091691,0.828125,0.623529,0.828125,0.376471,0.711409,0.205811,4.023713,0.25
86,53,11,30,319,0.08596,0.828125,0.638554,0.828125,0.361446,0.721088,0.200969,4.12067,0.250909
87,52,12,30,319,0.08596,0.8125,0.634146,0.8125,0.365854,0.712329,0.198547,4.092226,0.259167
88,52,12,29,320,0.083095,0.8125,0.641975,0.8125,0.358025,0.717241,0.196126,4.142747,0.26
89,52,12,26,323,0.074499,0.8125,0.666667,0.8125,0.333333,0.732394,0.188862,4.302083,0.273423
90,52,12,25,324,0.071633,0.8125,0.675325,0.8125,0.324675,0.737589,0.186441,4.357955,0.278971
91,52,12,24,325,0.068768,0.8125,0.684211,0.8125,0.315789,0.742857,0.184019,4.415296,0.28
92,52,12,23,326,0.065903,0.8125,0.693333,0.8125,0.306667,0.748201,0.181598,4.474167,0.281703
93,52,12,22,327,0.063037,0.8125,0.702703,0.8125,0.297297,0.753623,0.179177,4.534628,0.283347
94,52,12,21,328,0.060172,0.8125,0.712329,0.8125,0.287671,0.759124,0.176755,4.596747,0.289802
95,52,12,20,329,0.057307,0.8125,0.722222,0.8125,0.277778,0.764706,0.174334,4.66059,0.29
96,51,13,20,329,0.057307,0.796875,0.71831,0.796875,0.28169,0.755556,0.171913,4.635343,0.298847
97,50,14,20,329,0.057307,0.78125,0.714286,0.78125,0.285714,0.746269,0.169492,4.609375,0.316667
98,50,14,19,330,0.054441,0.78125,0.724638,0.78125,0.275362,0.75188,0.16707,4.676178,0.32
99,49,15,19,330,0.054441,0.765625,0.720588,0.765625,0.279412,0.742424,0.164649,4.650046,0.33
100,48,16,19,330,0.054441,0.75,0.716418,0.75,0.283582,0.732824,0.162228,4.623134,0.34
101,47,17,18,331,0.051576,0.734375,0.723077,0.734375,0.276923,0.728682,0.157385,4.666106,0.340885
102,46,18,18,331,0.051576,0.71875,0.71875,0.71875,0.28125,0.71875,0.154964,4.638184,0.35
