@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
56,106,10,33,264,0.111111,0.913793,0.76259,0.913793,0.23741,0.831373,0.336562,2.715083,0.31
57,104,12,33,264,0.111111,0.896552,0.759124,0.896552,0.240876,0.822134,0.331719,2.702744,0.32
58,103,13,31,266,0.104377,0.887931,0.768657,0.887931,0.231343,0.824,0.324455,2.736683,0.327618
59,103,13,30,267,0.10101,0.887931,0.774436,0.887931,0.225564,0.827309,0.322034,2.75726,0.333284
60,103,13,29,268,0.097643,0.887931,0.780303,0.887931,0.219697,0.830645,0.319613,2.778148,0.34
61,103,13,28,269,0.094276,0.887931,0.78626,0.887931,0.21374,0.834008,0.317191,2.799355,0.35
62,103,13,27,270,0.090909,0.887931,0.792308,0.887931,0.207692,0.837398,0.31477,2.820889,0.37
63,102,14,27,270,0.090909,0.87931,0.790698,0.87931,0.209302,0.832653,0.312349,2.815156,0.38
64,102,14,26,271,0.087542,0.87931,0.796875,0.87931,0.203125,0.836066,0.309927,2.83715,0.383333
65,102,14,25,272,0.084175,0.87931,0.80315,0.87931,0.19685,0.839506,0.307506,2.85949,0.393
66,101,15,25,272,0.084175,0.87069,0.801587,0.87069,0.198413,0.834711,0.305085,2.853927,0.4
67,101,15,24,273,0.080808,0.87069,0.808,0.87069,0.192,0.838174,0.302663,2.876759,0.41875
68,101,15,23,274,0.077441,0.87069,0.814516,0.87069,0.185484,0.841667,0.300242,2.899958,0.429115
69,101,15,22,275,0.074074,0.87069,0.821138,0.87069,0.178862,0.845188,0.297821,2.923535,0.43
70,100,16,22,275,0.074074,0.862069,0.819672,0.862069,0.180328,0.840336,0.2954,2.918315,0.438311
71,100,16,21,276,0.070707,0.862069,0.826446,0.862069,0.173554,0.843882,0.292978,2.942434,0.44
72,99,17,20,277,0.06734,0.853448,0.831933,0.853448,0.168067,0.842553,0.288136,2.961968,0.445
73,98,18,20,277,0.06734,0.844828,0.830508,0.844828,0.169492,0.837607,0.285714,2.956897,0.454289
74,98,18,19,278,0.063973,0.844828,0.837607,0.844828,0.162393,0.841202,0.283293,2.982169,0.456353
75,98,18,18,279,0.060606,0.844828,0.844828,0.844828,0.155172,0.844828,0.280872,3.007878,0.458456
76,98,18,17,280,0.057239,0.844828,0.852174,0.844828,0.147826,0.848485,0.27845,3.034033,0.459504
77,97,19,17,280,0.057239,0.836207,0.850877,0.836207,0.149123,0.843478,0.276029,3.029416,0.47
78,97,19,16,281,0.053872,0.836207,0.858407,0.836207,0.141593,0.847162,0.273608,3.056225,0.473791
79,97,19,15,282,0.050505,0.836207,0.866071,0.836207,0.133929,0.850877,0.271186,3.083513,0.48
80,96,20,13,284,0.043771,0.827586,0.880734,0.827586,0.119266,0.853333,0.263923,3.135717,0.49
81,95,21,13,284,0.043771,0.818966,0.87963,0.818966,0.12037,0.848214,0.261501,3.131785,0.491353
82,95,21,12,285,0.040404,0.818966,0.88785,0.818966,0.11215,0.852018,0.25908,3.161054,0.500922
83,95,21,11,286,0.037037,0.818966,0.896226,0.818966,0.103774,0.855856,0.256659,3.190875,0.504909
84,95,21,10,287,0.03367,0.818966,0.904762,0.818966,0.095238,0.859729,0.254237,3.221264,0.518824
85,95,21,9,288,0.030303,0.818966,0.913462,0.818966,0.086538,0.863636,0.251816,3.252238,0.519771
86,94,22,9,288,0.030303,0.810345,0.912621,0.810345,0.087379,0.858447,0.249395,3.249247,0.520175
87,93,23,9,288,0.030303,0.801724,0.911765,0.801724,0.088235,0.853211,0.246973,3.246197,0.53
88,92,24,9,288,0.030303,0.793103,0.910891,0.793103,0.089109,0.847926,0.244552,3.243086,0.530327
89,91,25,9,288,0.030303,0.784483,0.91,0.784483,0.09,0.842593,0.242131,3.239914,0.53295
90,90,26,9,288,0.030303,0.775862,0.909091,0.775862,0.090909,0.837209,0.239709,3.236677,0.53373
91,90,26,8,289,0.026936,0.775862,0.918367,0.775862,0.081633,0.841121,0.237288,3.269704,0.55
92,89,27,7,290,0.023569,0.767241,0.927083,0.767241,0.072917,0.839623,0.232446,3.300736,0.559489
93,89,27,6,291,0.020202,0.767241,0.936842,0.767241,0.063158,0.843602,0.230024,3.335481,0.570398
94,89,27,5,292,0.016835,0.767241,0.946809,0.767241,0.053191,0.847619,0.227603,3.370965,0.570544
95,88,28,5,292,0.016835,0.758621,0.946237,0.758621,0.053763,0.842105,0.225182,3.368928,0.573427
96,88,28,4,293,0.013468,0.758621,0.956522,0.758621,0.043478,0.846154,0.22276,3.405547,0.58
97,87,29,4,293,0.013468,0.75,0.956044,0.75,0.043956,0.84058,0.220339,3.403846,0.5892
98,86,30,4,293,0.013468,0.741379,0.955556,0.741379,0.044444,0.834951,0.217918,3.402107,0.59
99,86,30,3,294,0.010101,0.741379,0.966292,0.741379,0.033708,0.839024,0.215496,3.440333,0.591276
100,85,31,3,294,0.010101,0.732759,0.965909,0.732759,0.034091,0.833333,0.213075,3.438969,0.593982
101,84,32,3,294,0.010101,0.724138,0.965517,0.724138,0.034483,0.827586,0.210654,3.437574,0.6
102,81,35,3,294,0.010101,0.698276,0.964286,0.698276,0.035714,0.81,0.20339,3.43319,0.61
103,80,36,3,294,0.010101,0.689655,0.963855,0.689655,0.036145,0.80402,0.200969,3.431658,0.611269
104,79,37,3,294,0.010101,0.681034,0.963415,0.681034,0.036585,0.79798,0.198547,3.430088,0.64
105,78,38,3,294,0.010101,0.672414,0.962963,0.672414,0.037037,0.791878,0.196126,3.42848,0.654483
106,77,39,3,294,0.010101,0.663793,0.9625,0.663793,0.0375,0.785714,0.193705,3.426832,0.691357
107,76,40,3,294,0.010101,0.655172,0.962025,0.655172,0.037975,0.779487,0.191283,3.425142,0.698297
108,75,41,3,294,0.010101,0.646552,0.961538,0.646552,0.038462,0.773196,0.188862,3.423408,0.699545
109,74,42,3,294,0.010101,0.637931,0.961039,0.637931,0.038961,0.766839,0.186441,3.42163,0.701153
110,74,42,2,295,0.006734,0.637931,0.973684,0.637931,0.026316,0.770833,0.184019,3.466652,0.71
111,74,42,1,296,0.003367,0.637931,0.986667,0.637931,0.013333,0.774869,0.181598,3.512874,0.710144
112,73,43,1,296,0.003367,0.62931,0.986486,0.62931,0.013514,0.768421,0.179177,3.512232,0.710198
113,72,44,1,296,0.003367,0.62069,0.986301,0.62069,0.013699,0.761905,0.176755,3.511573,0.716653
114,71,45,1,296,0.003367,0.612069,0.986111,0.612069,0.013889,0.755319,0.174334,3.510896,0.72
115,70,46,1,296,0.003367,0.603448,0.985915,0.603448,0.014085,0.748663,0.171913,3.510199,0.721029
116,69,47,1,296,0.003367,0.594828,0.985714,0.594828,0.014286,0.741935,0.169492,3.509483,0.723889
117,68,48,1,296,0.003367,0.586207,0.985507,0.586207,0.014493,0.735135,0.16707,3.508746,0.726577
118,67,49,1,296,0.003367,0.577586,0.985294,0.577586,0.014706,0.728261,0.164649,3.507987,0.734647
119,66,50,1,296,0.003367,0.568966,0.985075,0.568966,0.014925,0.721311,0.162228,3.507205,0.738846
120,66,50,0,297,0,0.568966,1,0.568966,0,0.725275,0.159806,3.560345,0.74
121,64,52,0,297,0,0.551724,1,0.551724,0,0.711111,0.154964,3.560345,0.74927
122,63,53,0,297,0,0.543103,1,0.543103,0,0.703911,0.152542,3.560345,0.761018
123,62,54,0,297,0,0.534483,1,0.534483,0,0.696629,0.150121,3.560345,0.765995
124,61,55,0,297,0,0.525862,1,0.525862,0,0.689266,0.1477,3.560345,0.77
125,59,57,0,297,0,0.508621,1,0.508621,0,0.674286,0.142857,3.560345,0.773333
126,58,58,0,297,0,0.5,1,0.5,0,0.666667,0.140436,3.560345,0.774617
127,57,59,0,297,0,0.491379,1,0.491379,0,0.65896,0.138015,3.560345,0.79
128,56,60,0,297,0,0.482759,1,0.482759,0,0.651163,0.135593,3.560345,0.808157
129,55,61,0,297,0,0.474138,1,0.474138,0,0.643275,0.133172,3.560345,0.808958
130,54,62,0,297,0,0.465517,1,0.465517,0,0.635294,0.130751,3.560345,0.81
131,52,64,0,297,0,0.448276,1,0.448276,0,0.619048,0.125908,3.560345,0.816454
132,51,65,0,297,0,0.439655,1,0.439655,0,0.610778,0.123487,3.560345,0.81819
133,50,66,0,297,0,0.431034,1,0.431034,0,0.60241,0.121065,3.560345,0.82
134,48,68,0,297,0,0.413793,1,0.413793,0,0.585366,0.116223,3.560345,0.824113
135,47,69,0,297,0,0.405172,1,0.405172,0,0.576687,0.113801,3.560345,0.835359
136,46,70,0,297,0,0.396552,1,0.396552,0,0.567901,0.11138,3.560345,0.836084
137,45,71,0,297,0,0.387931,1,0.387931,0,0.559006,0.108959,3.560345,0.84
138,44,72,0,297,0,0.37931,1,0.37931,0,0.55,0.106538,3.560345,0.843995
139,43,73,0,297,0,0.37069,1,0.37069,0,0.540881,0.104116,3.560345,0.85
140,41,75,0,297,0,0.353448,1,0.353448,0,0.522293,0.099274,3.560345,0.858889
141,40,76,0,297,0,0.344828,1,0.344828,0,0.512821,0.096852,3.560345,0.862
142,39,77,0,297,0,0.336207,1,0.336207,0,0.503226,0.094431,3.560345,0.866783
143,38,78,0,297,0,0.327586,1,0.327586,0,0.493506,0.09201,3.560345,0.88
144,32,84,0,297,0,0.275862,1,0.275862,0,0.432432,0.077482,3.560345,0.89
145,31,85,0,297,0,0.267241,1,0.267241,0,0.421769,0.075061,3.560345,0.891556
146,30,86,0,297,0,0.258621,1,0.258621,0,0.410959,0.072639,3.560345,0.9
147,28,88,0,297,0,0.241379,1,0.241379,0,0.388889,0.067797,3.560345,0.901667
148,27,89,0,297,0,0.232759,1,0.232759,0,0.377622,0.065375,3.560345,0.91
149,26,90,0,297,0,0.224138,1,0.224138,0,0.366197,0.062954,3.560345,0.915584
150,25,91,0,297,0,0.215517,1,0.215517,0,0.35461,0.060533,3.560345,0.918018
151,24,92,0,297,0,0.206897,1,0.206897,0,0.342857,0.058111,3.560345,0.91809
152,23,93,0,297,0,0.198276,1,0.198276,0,0.330935,0.05569,3.560345,0.918778
153,22,94,0,297,0,0.189655,1,0.189655,0,0.318841,0.053269,3.560345,0.919286
154,21,95,0,297,0,0.181034,1,0.181034,0,0.306569,0.050847,3.560345,0.92
155,20,96,0,297,0,0.172414,1,0.172414,0,0.294118,0.048426,3.560345,0.924619
156,19,97,0,297,0,0.163793,1,0.163793,0,0.281481,0.046005,3.560345,0.93
157,16,100,0,297,0,0.137931,1,0.137931,0,0.242424,0.038741,3.560345,0.935771
158,15,101,0,297,0,0.12931,1,0.12931,0,0.229008,0.03632,3.560345,0.938824
159,14,102,0,297,0,0.12069,1,0.12069,0,0.215385,0.033898,3.560345,0.939286
160,13,103,0,297,0,0.112069,1,0.112069,0,0.20155,0.031477,3.560345,0.94
161,12,104,0,297,0,0.103448,1,0.103448,0,0.1875,0.029056,3.560345,0.949032
162,11,105,0,297,0,0.094828,1,0.094828,0,0.173228,0.026634,3.560345,0.95
163,9,107,0,297,0,0.077586,1,0.077586,0,0.144,0.021792,3.560345,0.96
164,8,108,0,297,0,0.068966,1,0.068966,0,0.129032,0.01937,3.560345,0.964412
165,7,109,0,297,0,0.060345,1,0.060345,0,0.113821,0.016949,3.560345,0.9695
166,6,110,0,297,0,0.051724,1,0.051724,0,0.098361,0.014528,3.560345,0.97
167,4,112,0,297,0,0.034483,1,0.034483,0,0.066667,0.009685,3.560345,0.98
168,1,115,0,297,0,0.008621,1,0.008621,0,0.017094,0.002421,?,0.987115
169,0,116,0,297,0,0,?,0,?,?,0,?,0.987125
